content,predicted_language,confidence_score
Ǹjẹ́ o mọ̀ pé obìnrin le bí ìbejì tí àwọn ọmọ nàá yóò sì ní bàbá ọ̀tọ̀ọ̀tọ̀?,vi,1.0
"Fídíò, Èyí ni iye àkàsọ̀ tí Oludije sípò Olubadan yóò gun, kò tó dé orí ìtẹ́, Duration 4,01",ca,1.0
"Ohun tó yẹ kó o mọ̀ nípa Peter Rufai, ohun táwọn èèkàn ń sọ nípa rẹ̀",vi,1.0
"Rasheed Ladoja: Akọni olóṣèlú tó fi sùúrù gba adé Sẹ́nátọ̀ àti gómìnà, tó tún fẹ́ gba adé Olubadan kẹrìnlélógójì",hu,1.0
"Fídíò, Peter Rufai papòdà, ohun ojú wa rí rèé ní ilé rẹ̀ lẹ́yìn ikú rẹ̀., Duration 1,58",ca,1.0
Obìnrin ti torí mi darapọ̀ mọ́ iṣẹ́ tíátà rí-Ogogo,vi,1.0
Wo ohun tó n ṣẹlẹ̀ sí ọkàn rẹ bí o bá sá eré ìje olóbìírípo láì sinmi,vi,1.0
Wo orílẹ́èdè mẹ́wàá tí o lè lọ láti Naijiria láì gba físà,vi,1.0
"Àwọn wo ló ń dúnkokò mọ́ Iyabo Ojo tó ṣe ń lọgun pé inú ewu ni òun àti ìdílé òun wà, wọ́n fẹ́ gbẹ̀mí òun ?",vi,1.0
"Wo àwọn ọba ilẹ̀ Yorùbá tó lo, ó kéré tán àádọ́ta ọdún lórí ìtẹ́",vi,1.0
"Fídíò, Kí ló ṣokùnfà òfin 'o ò wọ kọ́mú, o ò ṣe ìdánwò' àti bí àwọn òṣìṣẹ́ aláàbò ṣe fọwọ́ yẹ ọmú àwọn akẹ́kọ̀ọ́ wò ní fásitì Olabisi Onabanjo?, Duration 3,19",vi,1.0
"Mọ̀ nípa 'Imole Millionaire Draw', lótò tí ìjọba ìpínlẹ̀ Osun fẹ́ fi kojú ìṣẹ́ àti òṣì",vi,1.0
"Jesu Oyingbo rèé, pásítọ̀ tó láṣẹ ìbálòpọ̀ lórí ọmọ ìjọ obìnrin",vi,1.0
"Kí ni Cryptocurrency, tí EFCC ń kígbe pé àwọn olóṣèlú kan ń lò láti kó owó ìlú lọ sókè òkun?",hu,1.0
Ohun tó rọ̀ mọ́ bí Peter Rufai ṣe bẹ̀rẹ̀ sí ní jẹ́ orúkọ ìnagijẹ 'Dodo Mayana',vi,1.0
"Peter Rufai, ogbóntarìgì golí fún Super Eagles, jáde l'áyé",ca,1.0
"""JAMB, ṣe àtúnṣe sí orúkọ mi tó ti bàjẹ́, kó sì jẹ́ ń lọ sìnrú ìlú lẹ́yìn ìdádúró ọdún kan""",vi,1.0
"Ọba Sikiru Adetona wọ káà ilẹ̀ sùn ni ìlànà ẹ̀sìn Mùsùlùmí, àwọn ẹlẹ́sìn ìbílẹ̀ kò yọjú",vi,1.0
"Ohun tí Awujale ṣe nígbà ayé rẹ̀ nípa ìsìnkú àwọn ọba rèé, táwọn oníṣẹ̀ṣe kò fi kópa níbi ìsìnkú rẹ̀",vi,1.0
Irú kan ùn! Anfaani Adugbo yóò gbálejò Oriogbade ní ìbẹ̀rẹ̀ sáà Premier League tuntun,ca,1.0
"Ikú ń rọ̀ dẹ̀dẹ̀ lórí alárùn HIV/AIDS bíi 400m, èèyàn 6m tuntun le kó àrùn náà torí ìrànwọ́ Amẹ́ríkà tó dúró",vi,1.0
"Diogo Jota, òdú agbábọ́ọ̀lù Liverpool jade láyé nínú ìjàmbá ọkọ́; Ronaldo, Liverpool ń dárò",sk,1.0
"Orin, Kò ṣe é má gbọ̀ ọ́, Duration 1,01",vi,1.0
Gbogbo ohun tó yẹ kí o mọ̀ nípa ìdíje Wafcon 2024 tó bẹ̀rẹ̀,vi,1.0
"Buhari wọ káà ilẹ̀ sùn, àwọn ológun àti èèkàn ìlú ṣe ẹyẹ̀ ìkẹyìn fún un",vi,1.0
"Fídíò, ""Ogún ọdún rèé tí mo ti ń ta ẹ̀pà, gúgúrú àti dáńkúà fáwọn olólùfẹ̀ẹ́ bọ́ọ́lù Kwara United, kò sí ìlú tí ń kìí tẹ̀lé wọn lọ"", Duration 2,23",vi,1.0
"Fídíò, Iṣẹ́ ọṣẹ tí mo padà kọ́, ni kò jẹ́ kí n di alágbe lẹ́yìn tí ojú mi fọ́, Duration 3,50",vi,1.0
Àwọn ànfààní tó wà nínú sísọ ọ̀rọ̀ ẹni lẹ́yìn tàbí gbéborùn ṣíṣe,vi,1.0
Wo ohun mẹ́wàá tó lè ṣe láti dènà ewu lílo iná afẹ́fẹ́ gáásì,vi,1.0
"Fídíò, A ò lè sùn pẹ̀lú àlááfíà mọ́ nítorí àwọn ọmọ onílẹ̀ ní – Àwọn onílé ní Alagbaka, Akure pariwo síta, Duration 2,26",vi,1.0
Kí ló dé tí Naíjíríà yarí láti gba ọ̀pọ̀ àtìpó ọmọ ilẹ̀ Venezuela tí Trump fẹ́ fi ránṣẹ́?,vi,1.0
Ìjọba kéde ìgbésẹ̀ ọ̀tun lórí bí America  àti UAE ṣe mú kí físà gbígbà níra fún ọmọ Naijiria,vi,1.0
"Fídíò, Ìjọba Seyi Makinde, ẹgbẹ́ òṣèlú APC tako arawọn lórí ₦63.5bn tí wọ́n fẹ́ fi tún ilé ìjọba ìpínlẹ̀ Oyo ṣe, Duration 7,32",vi,1.0
"Moji Afolayan: Ọ̀pọ̀ àwọn alágbàtà  fíìmù ló máa ń bèèrè ìbálòpọ̀ lọ́wọ́ obìnrin, kí wọ́n tó lò wọ́n nínú eré láti di olókìkí",vi,1.0
"Àwọn nnkan tó yẹ kí o mọ̀ nípa Awujale ilẹ̀ Ijẹbu, Ọba Sikiru Kayode Adetona, tó wàjà",vi,1.0
Wo Awùjalẹ̀ 56 tó jẹ́ ṣaájú Ọba Sikiru Kayode Adetona tó wàjà,hu,1.0
"Fídíò, Ejigbo, ìlú ti gbogbo ìdílé ti n sọ èdè Faranse bótilẹ̀ jẹ́ pé ọmọ Yorùbá ni wọ́n, Duration 5,40",vi,1.0
"Fídíò, 'Iṣẹ́ ni mo wá á ṣe ní Naijiria tí mo fi pàdé ọkọ mi tó jẹ́ ọmọ Yorùbá, mi ò sì kábàámọ̀', Duration 5,11",vi,1.0
Wo ààrùn márùn-ún tí èèyàn le kó látara ìbálòpọ̀ àti ìtọ́jú wọn,vi,1.0
"Tinubu, Atiku, Makinde, Ooni àti àwọn èèkàn ìlú n ṣe ìdárò Buhari",vi,1.0
Kí ló dé táwọn Olubadan ń wàjà léraléra àti ìdí tí Ibadan ṣe ń jẹ́ Ọmọ Agbọ́tikúyọ̀?,vi,1.0
"Paul Biya, ààrẹ Cameroon tó ti wà lórí oyè láti ọdún 1982 tún fẹ́ dupò fún sáà kẹjọ",vi,1.0
