Text,Language,Topic
Ibyo wamenya ku miterere ya Samsung Galaxy Z Fold 7 izajya ku isoko vuba,kinyarwanda,Business
Abanyarwanda bafite ubumenyi mu ikoranabuhanga bikubye kane,kinyarwanda,Other
Umutungo w’umuyobozi wa Nvidia warenze miliyari 143$ nyuma yo kugurisha imigabane,kinyarwanda,Other
OpenAI igiye gushyira hanze ’browser’ izahangana na ‘Google Chrome’,kinyarwanda,Business
Agaciro k’ikigo ‘Nvidia’ kageze kuri miliyari 4.000$,kinyarwanda,Business
OpenAI yakajije umutekano mu by’ikoranabuhanga nyuma yo kugirwa inama na Amerika,kinyarwanda,Business
Izahabwa n’umwana ukivuka: Indangamuntu koranabuhanga igeze he?,kinyarwanda,Business
Perezida Kagame yitabiriye inama ya ‘Broadband Commission’,kinyarwanda,Business
Ingimbi n’abangavu batwara imodoka bamara 20% by’igihe cy’urugendo bareba kuri telefone - Ubushakashatsi,kinyarwanda,Business
Uko amakuru ashingiye ku isanzure ari kwihutisha itangwa rya serivisi mu Rwanda,kinyarwanda,Business
Imodoka ya Tesla yakoze urugendo rw’iminota 30 yitwaye,kinyarwanda,Business
Bakoze ikoranabuhanga rizafasha guhangana n’abanyeshuri bakopera (Video),kinyarwanda,Business
Ibishya kuri iPhone 17 iri hafi kujya ku isoko,kinyarwanda,Business
Pologne: Abanyarwanda  bizihije umunsi wo Kwibohora,kinyarwanda,History
Abanyarwanda baba mu Bufaransa bizihije umunsi wo Kwibohora,kinyarwanda,History
"Abanyarwanda baba i Brazzaville bizihije Kwibohora31, berekwa intambwe igihugu cyateye",kinyarwanda,History
Hongrie: Abanyarwanda n’inshuti bizihije ‘Kwibohora31’,kinyarwanda,History
Abo muri ‘diaspora’ beretswe amahirwe yo kwishingana muri SONARWA General Insurance,kinyarwanda,History
Kigali ifite icyuho cy’inzu ibihumbi 30: Ababa muri Amerika beretswe amahirwe y’ishoramari,kinyarwanda,Business
BPR Bank Rwanda yiteguye gufasha Abanyarwanda baba mumahanga gushora imari mu gihugu,kinyarwanda,Business
Abanyarwanda batuye muri Sénégal bizihije ku nshuro ya 31 Umunsi wo Kwibohora,kinyarwanda,History
Rwanda Convention: Uruganda rwa Kinazi rwamurikiye Abanyarwanda baba muri Amerika ibyo rukora,kinyarwanda,History
U Burusiya: Abanyarwanda n’inshuti zabo bizihije umunsi mukuru wo Kwibohora ku nshuro ya 31,kinyarwanda,History
Abanyarwanda baba muri Amerika bagiye guteranira mu Rwanda,kinyarwanda,Business
Bwa mbere Ambasade y’u Rwanda muri Luxembourg igiye kwizihiza Umunsi wo Kwibohora,kinyarwanda,History
Senegal: Herekanwe filime yakozwe n’Umunya-Senegal ivuga ku kwiyubaka k’u Rwanda nyuma ya Jenoside,kinyarwanda,Entertainment
U Bubiligi: Abatuye Leuven bemerewe guhabwa Urwibutso rwa Jenoside yakorewe Abatutsi,kinyarwanda,History
Higiro Prosper yahembwe nka Ambasaderi w’umwaka muri Canada,kinyarwanda,Other
"Uwajeneza, umuforomo werekana imideli ku rwego mpuzamahanga",kinyarwanda,Entertainment
Ubuhanga bukubiye mu bishushanyo n’imyambaro byiswe ‘My Rwanda Collection’ (Amafoto),kinyarwanda,Entertainment
U Bwongereza: Naomi Campbell yavanywe mu bemerewe gukora ibikorwa by’ubugiraneza,kinyarwanda,Entertainment
"Umwihariko wa ‘Intwali Collection’, inzu y’imideli yiyemeje kuba umuranga w’umuco",kinyarwanda,Entertainment
LeBron James yashimye imyambaro ya Moshions Sudani y’Epfo yaserukanye,kinyarwanda,Entertainment
Ndi mushiki wanyu - Moïse Turahirwa akomeje kuvugisha abantu,kinyarwanda,Entertainment
Imyaka icumi mu mwuga n’uko yavuye mu Bubiligi: Ikiganiro na Ivan Mugemanyi wigaruriye isoko rya  ‘makeup’ (Video),kinyarwanda,Business
Hatoranyijwe abanyamideli bagiye gukorana na ‘WeBest Model Management’,kinyarwanda,Entertainment
Urwibutso ku myenda idasanzwe Tonzi yaserukanye ubwo yamurikaga album ye ‘Respect’,kinyarwanda,Entertainment
"Imigabane ya Miss Vanessa  yaraguzwe: Byinshi ku mavugura ya Her Majesty,  ‘maquillage’ za mbere zikomoka mu Rwanda",kinyarwanda,Entertainment
Abarimo Miss Ingabire Grace bamuritse imyambaro ya Masamara iha icyubahiro ababohoye u Rwanda (Amafoto),kinyarwanda,Entertainment
Ibicuruzwa bya Gucci byagabanutseho 20%,kinyarwanda,Entertainment
New York: Asantii yegukanye igihembo cy’inzu y’imideli irengera ibidukikije,kinyarwanda,Entertainment
Supra Model igiye kujya iba buri kwezi,kinyarwanda,Entertainment
Iris Apfel wamamaye mu mideli yitabye Imana,kinyarwanda,Entertainment
"Ibyo wamenya kuri Castel Gandolfo, umujyi Papa Léon XIV agiye kuruhukiramo (Amafoto)",kinyarwanda,Entertainment
"Ikaze muri Munazi Lodge, hoteli rukumbi yubatswe rwagati muri Pariki ya Nyungwe",kinyarwanda,Entertainment
Dutemberane mu kirere cya Pariki y’Igihugu ya Nyungwe mu bukerarugendo bushya bukorerwa ku migozi (Amafoto na video),kinyarwanda,Entertainment
"Akanyamuneza ku bagena ibiciro by’ubwubatsi, bakuriweho ibyazambyaga itangwa ry’amasoko",kinyarwanda,Tourism
"Dutemberane Taj Mahal, inyubako ifite ibigwi ku Isi",kinyarwanda,Tourism
Ibyumba bya hoteli byabaye iyanga i Rubavu: Impumuro y’ikiruhuko,kinyarwanda,Tourism
"Dutemberane Muhazi Beach Resort, ishusho y’ubwiza bw’Ikiyaga cya Muhazi (Amafoto na Video)",kinyarwanda,Tourism
Guverineri Kayitesi yashimye BPR Bank Rwanda Plc ku myaka 50 imaze iteza imbere abatuye Amajyepfo,kinyarwanda,Business
"Pariki y’Akagera mu mibare: Iwabo w’Intare, Ingwe, Inzovu n’izindi zirenga ibihumbi 10",kinyarwanda,Tourism
"Tujyane ku Ibere rya Bigogwe, hamamaye mu bukerarugendo bushingiye ku nka (Amafoto)",kinyarwanda,Tourism
Ibyo wakora uramutse utembereye ku Kivu,kinyarwanda,Tourism
Ibintu birindwi bibumbatiye ubwiza bwa Karongi y’ubukerarugendo,kinyarwanda,Tourism
Kigali yaje ku mwanya wa kabiri mu kwakira inama nyinshi muri Afurika,kinyarwanda,Other
Kwita izina byashyizwe muri Nzeri,kinyarwanda,Other
Hari ahazishyurwa miliyoni 17 Frw ku ijoro: Imaramatsiko kuri hoteli igiye gushyirwa muri Pariki y’Akagera,kinyarwanda,Tourism
U Rwanda rukeneye miliyoni 130$ yo gutunganya ibyanya by’inganda,kinyarwanda,Development
Ibibazo by’ingutu byashegeshe imirenge SACCO,kinyarwanda,Business
Agaciro ka Bitcoin kageze ku bihumbi 118$,kinyarwanda,Business
Sobanukirwa imiterere y’amadeni u Rwanda rufite,kinyarwanda,Economics
Ibiciro byiyongereyeho 7% muri Kamena,kinyarwanda,Economics
Cooperative Bank ibumbye Imirenge SACCO izatangira mu mwaka wa 2025/26,kinyarwanda,Business
"Abantu 500 baketsweho kwiba amafaranga y’Imirenge SACCO, hagaruzwa miliyari 2,2 Frw",kinyarwanda,Business
RRA yakusanyije arenga miliyari 3.000 Frw z’imisoro mu 2024/2025,kinyarwanda,Other
I&M Bank Rwanda yijeje Abanyarwanda baba muri Amerika kubafasha kubaka no guteza imbere ubucuruzi,kinyarwanda,Business
Duterimbere IMF Plc yafunguye ishami rya 19 i Kabuga,kinyarwanda,Business
"Imisoro ku modoka za hybrid, icumbi n’ibikomoka kuri peteroli yatangiye kubahirizwa: Iby’ingenzi ukwiye kumenya",kinyarwanda,Business
"Nyamagabe: Imirenge SACCO 17 yahurijwe hamwe, inguzanyo itanga igezwa kuri miliyoni 65 Frw",kinyarwanda,Business
Nyanza: Abaturage barenga 800 bagiye kuvurwa ku buntu n’ingabo za EAC zishyize hamwe,kinyarwanda,Business
"Uruganda rw’amata y’ifu rwa Inyange rugurira aborozi toni miliyoni 2,8 z’amata buri kwezi",kinyarwanda,Business
Bigenda bite iyo  banki cyangwa ikigo cy’imari ubitsamo bihombye?,kinyarwanda,Business
