content,predicted_language,confidence_score
Impinduka 10 zikomeye zizagaragara kuri iPhone 17,hr,1.0
Hahishuwe uko ‘black holes’ zihuje mu buryo butigeze bubaho mbere,sw,1.0
Ibyo wamenya ku miterere ya Samsung Galaxy Z Fold 7 izajya ku isoko vuba,sw,1.0
Abanyarwanda bafite ubumenyi mu ikoranabuhanga bikubye kane,id,1.0
Umutungo w’umuyobozi wa Nvidia warenze miliyari 143$ nyuma yo kugurisha imigabane,sw,1.0
OpenAI igiye gushyira hanze ’browser’ izahangana na ‘Google Chrome’,tl,1.0
Agaciro k’ikigo ‘Nvidia’ kageze kuri miliyari 4.000$,sw,1.0
OpenAI yakajije umutekano mu by’ikoranabuhanga nyuma yo kugirwa inama na Amerika,sw,1.0
Izahabwa n’umwana ukivuka: Indangamuntu koranabuhanga igeze he?,id,1.0
Perezida Kagame yitabiriye inama ya ‘Broadband Commission’,tr,1.0
Ingimbi n’abangavu batwara imodoka bamara 20% by’igihe cy’urugendo bareba kuri telefone - Ubushakashatsi,id,1.0
Uko amakuru ashingiye ku isanzure ari kwihutisha itangwa rya serivisi mu Rwanda,sw,1.0
Imodoka ya Tesla yakoze urugendo rw’iminota 30 yitwaye,sw,1.0
Bakoze ikoranabuhanga rizafasha guhangana n’abanyeshuri bakopera (Video),sw,1.0
Ibishya kuri iPhone 17 iri hafi kujya ku isoko,sw,1.0
Pologne: Abanyarwanda  bizihije umunsi wo Kwibohora,sw,1.0
Abanyarwanda baba mu Bufaransa bizihije umunsi wo Kwibohora,sw,1.0
"Abanyarwanda baba i Brazzaville bizihije Kwibohora31, berekwa intambwe igihugu cyateye",sw,1.0
Hongrie: Abanyarwanda n’inshuti bizihije ‘Kwibohora31’,sw,1.0
Abo muri ‘diaspora’ beretswe amahirwe yo kwishingana muri SONARWA General Insurance,id,1.0
Kigali ifite icyuho cy’inzu ibihumbi 30: Ababa muri Amerika beretswe amahirwe y’ishoramari,sw,1.0
BPR Bank Rwanda yiteguye gufasha Abanyarwanda baba mumahanga gushora imari mu gihugu,so,1.0
Abanyarwanda batuye muri Sénégal bizihije ku nshuro ya 31 Umunsi wo Kwibohora,sw,1.0
Rwanda Convention: Uruganda rwa Kinazi rwamurikiye Abanyarwanda baba muri Amerika ibyo rukora,sw,1.0
U Burusiya: Abanyarwanda n’inshuti zabo bizihije umunsi mukuru wo Kwibohora ku nshuro ya 31,sw,1.0
Abanyarwanda baba muri Amerika bagiye guteranira mu Rwanda,id,1.0
Bwa mbere Ambasade y’u Rwanda muri Luxembourg igiye kwizihiza Umunsi wo Kwibohora,sw,1.0
Senegal: Herekanwe filime yakozwe n’Umunya-Senegal ivuga ku kwiyubaka k’u Rwanda nyuma ya Jenoside,sw,1.0
U Bubiligi: Abatuye Leuven bemerewe guhabwa Urwibutso rwa Jenoside yakorewe Abatutsi,id,1.0
Higiro Prosper yahembwe nka Ambasaderi w’umwaka muri Canada,sw,1.0
"Uwajeneza, umuforomo werekana imideli ku rwego mpuzamahanga",sw,1.0
Ubuhanga bukubiye mu bishushanyo n’imyambaro byiswe ‘My Rwanda Collection’ (Amafoto),sw,1.0
U Bwongereza: Naomi Campbell yavanywe mu bemerewe gukora ibikorwa by’ubugiraneza,sw,1.0
"Umwihariko wa ‘Intwali Collection’, inzu y’imideli yiyemeje kuba umuranga w’umuco",sw,1.0
LeBron James yashimye imyambaro ya Moshions Sudani y’Epfo yaserukanye,sw,1.0
Ndi mushiki wanyu - Moïse Turahirwa akomeje kuvugisha abantu,sw,1.0
Imyaka icumi mu mwuga n’uko yavuye mu Bubiligi: Ikiganiro na Ivan Mugemanyi wigaruriye isoko rya  ‘makeup’ (Video),sw,1.0
Hatoranyijwe abanyamideli bagiye gukorana na ‘WeBest Model Management’,id,1.0
Urwibutso ku myenda idasanzwe Tonzi yaserukanye ubwo yamurikaga album ye ‘Respect’,sw,1.0
"Imigabane ya Miss Vanessa  yaraguzwe: Byinshi ku mavugura ya Her Majesty,  ‘maquillage’ za mbere zikomoka mu Rwanda",sw,1.0
Abarimo Miss Ingabire Grace bamuritse imyambaro ya Masamara iha icyubahiro ababohoye u Rwanda (Amafoto),so,1.0
Ibicuruzwa bya Gucci byagabanutseho 20%,sw,1.0
New York: Asantii yegukanye igihembo cy’inzu y’imideli irengera ibidukikije,sw,1.0
Supra Model igiye kujya iba buri kwezi,sw,1.0
Iris Apfel wamamaye mu mideli yitabye Imana,sw,1.0
"Ibyo wamenya kuri Castel Gandolfo, umujyi Papa Léon XIV agiye kuruhukiramo (Amafoto)",sw,1.0
"Ikaze muri Munazi Lodge, hoteli rukumbi yubatswe rwagati muri Pariki ya Nyungwe",sw,1.0
Dutemberane mu kirere cya Pariki y’Igihugu ya Nyungwe mu bukerarugendo bushya bukorerwa ku migozi (Amafoto na video),sw,1.0
"Akanyamuneza ku bagena ibiciro by’ubwubatsi, bakuriweho ibyazambyaga itangwa ry’amasoko",sw,1.0
"Dutemberane Taj Mahal, inyubako ifite ibigwi ku Isi",id,1.0
Ibyumba bya hoteli byabaye iyanga i Rubavu: Impumuro y’ikiruhuko,tl,1.0
"Dutemberane Muhazi Beach Resort, ishusho y’ubwiza bw’Ikiyaga cya Muhazi (Amafoto na Video)",sw,1.0
Guverineri Kayitesi yashimye BPR Bank Rwanda Plc ku myaka 50 imaze iteza imbere abatuye Amajyepfo,sw,1.0
"Pariki y’Akagera mu mibare: Iwabo w’Intare, Ingwe, Inzovu n’izindi zirenga ibihumbi 10",sw,1.0
"Tujyane ku Ibere rya Bigogwe, hamamaye mu bukerarugendo bushingiye ku nka (Amafoto)",sw,1.0
Ibyo wakora uramutse utembereye ku Kivu,sw,1.0
Ibintu birindwi bibumbatiye ubwiza bwa Karongi y’ubukerarugendo,id,1.0
Kigali yaje ku mwanya wa kabiri mu kwakira inama nyinshi muri Afurika,sw,1.0
Kwita izina byashyizwe muri Nzeri,sw,1.0
Hari ahazishyurwa miliyoni 17 Frw ku ijoro: Imaramatsiko kuri hoteli igiye gushyirwa muri Pariki y’Akagera,sw,1.0
U Rwanda rukeneye miliyoni 130$ yo gutunganya ibyanya by’inganda,sw,1.0
Ibibazo by’ingutu byashegeshe imirenge SACCO,en,1.0
Agaciro ka Bitcoin kageze ku bihumbi 118$,sw,1.0
Sobanukirwa imiterere y’amadeni u Rwanda rufite,id,1.0
Ibiciro byiyongereyeho 7% muri Kamena,tl,1.0
Cooperative Bank ibumbye Imirenge SACCO izatangira mu mwaka wa 2025/26,sw,1.0
"Abantu 500 baketsweho kwiba amafaranga y’Imirenge SACCO, hagaruzwa miliyari 2,2 Frw",sw,1.0
RRA yakusanyije arenga miliyari 3.000 Frw z’imisoro mu 2024/2025,sw,1.0
I&M Bank Rwanda yijeje Abanyarwanda baba muri Amerika kubafasha kubaka no guteza imbere ubucuruzi,sw,1.0
Duterimbere IMF Plc yafunguye ishami rya 19 i Kabuga,id,1.0
"Imisoro ku modoka za hybrid, icumbi n’ibikomoka kuri peteroli yatangiye kubahirizwa: Iby’ingenzi ukwiye kumenya",sw,1.0
"Nyamagabe: Imirenge SACCO 17 yahurijwe hamwe, inguzanyo itanga igezwa kuri miliyoni 65 Frw",sw,1.0
Nyanza: Abaturage barenga 800 bagiye kuvurwa ku buntu n’ingabo za EAC zishyize hamwe,sw,1.0
"Uruganda rw’amata y’ifu rwa Inyange rugurira aborozi toni miliyoni 2,8 z’amata buri kwezi",sw,1.0
Bigenda bite iyo  banki cyangwa ikigo cy’imari ubitsamo bihombye?,so,1.0
